step,result,detail
START protocol=C:\Users\nico\source\repos\MSUIClient\scenarios\combat\NIGHT01B-W1E-preconnected-20260801-081334.txt
1,PASS,gm .gps
2,PASS,waitfor detail=Map:_0_
3,PASS,wait 20
4,PASS,gm .go xyz -8970 -132.493 83.53 0
5,PASS,wait 0.5
6,PASS,gm .gm off
7,PASS,wait 0.3
8,PASS,gm .gm
9,PASS,wait 0.3
10,PASS,gm .dismount
11,PASS,wait 0.2
12,PASS,gm .combatstop TEST
13,PASS,wait 0.2
14,PASS,gm .npc spawn add 6
15,FAIL,select spawn:1 guid=0x0000000000000000
16,FAIL,assert event=SpawnObserved
17,PASS,socket-trace start NIGHT01B-W1E path=C:\Users\nico\source\repos\MSUIClient\dumps\sockettrace-NIGHT01B-W1E-20260801-082035.csv
18,PASS,trace start NIGHT01B-W1E
19,PASS,gm .gps
20,FAIL,attack start gate=REFUSED
21,FAIL,assert event=AttackPreconditionGatePass
22,PASS,assert event=SocketFlush cause=post-encryption-socket-write
23,FAIL,assert event=AttackSwingSend
24,PASS,waitfor detail=Map:_0_
25,PASS,wait 0.5
26,PASS,attack stop
27,PASS,socket-trace stop
28,PASS,trace stop
29,PASS,gm .gm on
30,PASS,wait 0.2
31,PASS,gm .npc spawn delete
32,PASS,wait 0.5
33,FAIL,waitgone spawn:1 guid=0x0000000000000000 descriptorPresent=True
34,PASS,gm .gm off
